id,salary_in_usd
0,103770.09523809524
1,150973.13333333333
2,150973.13333333333
3,52611.47445255474
4,54590.556962025315
5,88071.26
6,85193.85185185185
7,54590.556962025315
8,54590.556962025315
9,150973.13333333333
10,54590.556962025315
11,155553.0344827586
12,52562.181818181816
13,54590.556962025315
14,88071.26
15,52611.47445255474
16,88176.72
17,150973.13333333333
18,54590.556962025315
19,54590.556962025315
20,57299.07339449541
21,57299.07339449541
22,57299.07339449541
23,155553.0344827586
24,52562.181818181816
25,54590.556962025315
26,150973.13333333333
27,155553.0344827586
28,52611.47445255474
29,91810.299270073
30,63717.55882352941
31,150973.13333333333
32,59409.58720930233
33,54590.556962025315
34,52611.47445255474
35,52611.47445255474
36,155553.0344827586
37,52611.47445255474
38,52611.47445255474
39,155553.0344827586
40,54590.556962025315
41,54590.556962025315
42,150973.13333333333
43,155553.0344827586
44,150973.13333333333
45,155553.0344827586
46,150973.13333333333
47,52611.47445255474
48,150973.13333333333
49,52562.181818181816
50,150973.13333333333
51,57299.07339449541
52,150973.13333333333
53,150973.13333333333
54,150973.13333333333
55,52611.47445255474
56,155553.0344827586
57,155553.0344827586
58,150973.13333333333
59,150973.13333333333
60,150973.13333333333
61,155553.0344827586
62,150973.13333333333
63,150973.13333333333
64,150973.13333333333
65,155553.0344827586
66,155553.0344827586
67,150973.13333333333
68,150973.13333333333
69,52611.47445255474
70,150973.13333333333
71,150973.13333333333
72,150973.13333333333
73,52562.181818181816
74,88176.72
75,150973.13333333333
76,52562.181818181816
77,52611.47445255474
78,150973.13333333333
79,150973.13333333333
80,52562.181818181816
81,54590.556962025315
82,150973.13333333333
83,155553.0344827586
84,150973.13333333333
85,52611.47445255474
86,52611.47445255474
87,155553.0344827586
88,150973.13333333333
89,59523.02836879432
90,54590.556962025315
91,57299.07339449541
92,85193.85185185185
93,57299.07339449541
94,150973.13333333333
95,150973.13333333333
96,54590.556962025315
97,52611.47445255474
98,52611.47445255474
99,155553.0344827586
100,150973.13333333333
101,150973.13333333333
102,150973.13333333333
103,155553.0344827586
104,155553.0344827586
105,52611.47445255474
106,150973.13333333333
