id,salary_in_usd
0,151541.33555621927
1,123685.40828613148
2,96947.7591744003
3,65149.62344048803
4,36412.69310322487
5,15818.794068493007
6,119820.4591665809
7,42549.09342835151
8,5256.117098485192
9,196604.21815213817
10,53225.160500112666
11,243645.86913056803
12,59175.44458340092
13,-38932.63756512372
14,30640.98964853685
15,50124.91598459229
16,123857.26579711304
17,175206.192438138
18,47657.80569233261
19,-7477.28062833834
20,17900.693243535294
21,53502.72653710582
22,57281.98151236204
23,251278.57355707532
24,22371.229521889327
25,7903.441055656687
26,74033.20004976599
27,234870.2615041965
28,17061.689492968
29,81494.38640351931
30,92885.77212960586
31,114579.12303885556
32,45147.83607487327
33,64841.72601782099
34,27343.88553460473
35,59566.0056489472
36,262982.3123223733
37,-34507.84671305075
38,79587.73828134572
39,277099.74822834274
40,-45769.49413254632
41,-6672.146616153841
42,112335.06805229734
43,240800.12148845964
44,73993.7701546757
45,316367.9132273107
46,114791.10701076138
47,66530.66389077323
48,114579.12303885556
49,53289.79532399909
50,129784.67359928237
51,15654.481442460994
52,112144.72076175504
53,161381.45410978716
54,104801.55153124758
55,85161.078857854
56,164260.3274168214
57,141305.1111411506
58,108907.97246893444
59,138477.73384979175
60,108907.97246893444
61,222724.99873012156
62,138477.73384979175
63,139840.7479591691
64,189925.78427587895
65,212977.4698049953
66,212977.4698049953
67,138477.73384979175
68,110475.54682554056
69,94197.66078580482
70,232668.8476456363
71,173849.07846660033
72,59150.3551438851
73,76059.11691947382
74,76463.4740557283
75,132876.43561990125
76,75666.88431696291
77,82951.62866784645
78,137634.73354593225
79,180780.6312211452
80,32305.195194703017
81,51632.91459704605
82,390021.8231043747
83,302373.3825828644
84,123740.96237458142
85,59638.84916323249
86,59638.84916323249
87,164260.3274168214
88,138477.73384979175
89,154003.71925686876
90,52030.22179162043
91,44978.1342815737
92,46423.657075821466
93,57095.40869413902
94,138477.73384979175
95,220169.44610401604
96,47703.60856698072
97,68260.17316628764
98,78673.88187695533
99,182517.32923422253
100,138477.73384979175
101,108907.97246893444
102,108907.97246893444
103,212977.4698049953
104,164260.3274168214
105,66766.6802513259
106,110475.54682554056
